pressure_alt_ft,oat_c,weight_lb,value
0,-54,4500,1557
0,-54,5000,1362
0,-54,5500,1197
0,-54,6000,1057
0,-50,4500,1557
0,-50,5000,1361
0,-50,5500,1197
0,-50,6000,1057
0,-40,4500,1557
0,-40,5000,1361
0,-40,5500,1197
0,-40,6000,1057
0,-30,4500,1556
0,-30,5000,1360
0,-30,5500,1196
0,-30,6000,1056
0,-20,4500,1554
0,-20,5000,1358
0,-20,5500,1195
0,-20,6000,1055
0,-10,4500,1552
0,-10,5000,1357
0,-10,5500,1193
0,-10,6000,1054
0,0,4500,1549
0,0,5000,1354
0,0,5500,1191
0,0,6000,1051
0,10,4500,1491
0,10,5000,1302
0,10,5500,1144
0,10,6000,1008
0,20,4500,1220
0,20,5000,1058
0,20,5500,922
0,20,6000,805
0,30,4500,982
0,30,5000,844
0,30,5500,727
0,30,6000,627
0,40,4500,777
0,40,5000,659
0,40,5500,559
0,40,6000,473
0,50,4500,589
0,50,5000,490
0,50,5500,406
0,50,6000,332
2000,-54,4500,1537
2000,-54,5000,1343
2000,-54,5500,1181
2000,-54,6000,1041
2000,-50,4500,1537
2000,-50,5000,1343
2000,-50,5500,1180
2000,-50,6000,1041
2000,-40,4500,1536
2000,-40,5000,1342
2000,-40,5500,1180
2000,-40,6000,1041
2000,-30,4500,1534
2000,-30,5000,1341
2000,-30,5500,1178
2000,-30,6000,1039
2000,-20,4500,1533
2000,-20,5000,1340
2000,-20,5500,1177
2000,-20,6000,1039
2000,-10,4500,1531
2000,-10,5000,1338
2000,-10,5500,1176
2000,-10,6000,1037
2000,0,4500,1528
2000,0,5000,1335
2000,0,5500,1173
2000,0,6000,1035
2000,10,4500,1362
2000,10,5000,1185
2000,10,5500,1037
2000,10,6000,910
2000,20,4500,1106
2000,20,5000,955
2000,20,5500,828
2000,20,6000,719
2000,30,4500,885
2000,30,5000,756
2000,30,5500,647
2000,30,6000,553
2000,40,4500,690
2000,40,5000,581
2000,40,5500,488
2000,40,6000,407
2000,45,4500,596
2000,45,5000,496
2000,45,5500,411
2000,45,6000,336
4000,-54,4500,1510
4000,-54,5000,1319
4000,-54,5500,1158
4000,-54,6000,1021
4000,-50,4500,1510
4000,-50,5000,1318
4000,-50,5500,1158
4000,-50,6000,1021
4000,-40,4500,1509
4000,-40,5000,1318
4000,-40,5500,1157
4000,-40,6000,1020
4000,-30,4500,1507
4000,-30,5000,1316
4000,-30,5500,1156
4000,-30,6000,1019
4000,-20,4500,1505
4000,-20,5000,1314
4000,-20,5500,1154
4000,-20,6000,1018
4000,-10,4500,1503
4000,-10,5000,1312
4000,-10,5500,1152
4000,-10,6000,1016
4000,0,4500,1498
4000,0,5000,1308
4000,0,5500,1149
4000,0,6000,1013
4000,10,4500,1249
4000,10,5000,1084
4000,10,5500,945
4000,10,6000,826
4000,20,4500,1007
4000,20,5000,866
4000,20,5500,747
4000,20,6000,645
4000,30,4500,800
4000,30,5000,680
4000,30,5500,578
4000,30,6000,489
4000,40,4500,613
4000,40,5000,511
4000,40,5500,425
4000,40,6000,349
6000,-54,4500,1431
6000,-54,5000,1247
6000,-54,5500,1093
6000,-54,6000,962
6000,-50,4500,1429
6000,-50,5000,1246
6000,-50,5500,1092
6000,-50,6000,960
6000,-40,4500,1428
6000,-40,5000,1245
6000,-40,5500,1092
6000,-40,6000,960
6000,-30,4500,1427
6000,-30,5000,1244
6000,-30,5500,1091
6000,-30,6000,959
6000,-20,4500,1425
6000,-20,5000,1243
6000,-20,5500,1089
6000,-20,6000,958
6000,-10,4500,1423
6000,-10,5000,1240
6000,-10,5500,1087
6000,-10,6000,956
6000,0,4500,1354
6000,0,5000,1179
6000,0,5500,1031
6000,0,6000,905
6000,10,4500,1108
6000,10,5000,957
6000,10,5500,830
6000,10,6000,721
6000,20,4500,884
6000,20,5000,756
6000,20,5500,647
6000,20,6000,553
6000,30,4500,692
6000,30,5000,583
6000,30,5500,490
6000,30,6000,409
6000,36,4500,584
6000,36,5000,486
6000,36,5500,402
6000,36,6000,328
8000,-54,4500,1316
8000,-54,5000,1144
8000,-54,5500,1000
8000,-54,6000,876
8000,-50,4500,1315
8000,-50,5000,1144
8000,-50,5500,999
8000,-50,6000,876
8000,-40,4500,1314
8000,-40,5000,1143
8000,-40,5500,999
8000,-40,6000,875
8000,-30,4500,1313
8000,-30,5000,1142
8000,-30,5500,998
8000,-30,6000,874
8000,-10,4500,1309
8000,-10,5000,1138
8000,-10,5500,995
8000,-10,6000,871
8000,0,4500,1182
8000,0,5000,1024
8000,0,5500,890
8000,0,6000,776
8000,10,4500,959
8000,10,5000,823
8000,10,5500,708
8000,10,6000,609
8000,20,4500,756
8000,20,5000,640
8000,20,5500,542
8000,20,6000,457
8000,30,4500,577
8000,30,5000,480
8000,30,5500,396
8000,30,6000,323
8000,31,4500,560
8000,31,5000,464
8000,31,5500,382
8000,31,6000,310
10000,0,4500,1027
10000,0,5000,885
10000,0,5500,764
10000,0,6000,660
10000,10,4500,822
10000,10,5000,700
10000,10,5500,596
10000,10,6000,506
10000,20,4500,639
10000,20,5000,535
10000,20,5500,447
10000,20,6000,369
10000,27,4500,520
10000,27,5000,429
10000,27,5500,350
10000,27,6000,281
12000,-54,4500,1108
12000,-54,5000,957
12000,-54,5500,830
12000,-54,6000,720
12000,-50,4500,1107
12000,-50,5000,957
12000,-50,5500,829
12000,-50,6000,720
12000,-40,4500,1106
12000,-40,5000,956
12000,-40,5500,829
12000,-40,6000,719
12000,-30,4500,1105
12000,-30,5000,955
12000,-30,5500,828
12000,-30,6000,719
12000,-20,4500,1104
12000,-20,5000,954
12000,-20,5500,827
12000,-20,6000,718
12000,-10,4500,1081
12000,-10,5000,933
12000,-10,5500,808
12000,-10,6000,701
12000,0,4500,879
12000,0,5000,752
12000,0,5500,644
12000,0,6000,550
12000,10,4500,693
12000,10,5000,584
12000,10,5500,491
12000,10,6000,410
12000,20,4500,528
12000,20,5000,435
12000,20,5500,356
12000,20,6000,286
12000,22,4500,495
12000,22,5000,406
12000,22,5500,329
12000,22,6000,262
14000,-54,4500,1010
14000,-54,5000,869
14000,-54,5500,750
