pressure_alt_ft,oat_c,weight_lb,value
0,-54,4500,3646
0,-54,5000,3188
0,-54,5500,2804
0,-54,6000,2475
0,-50,4500,3613
0,-50,5000,3158
0,-50,5500,2778
0,-50,6000,2452
0,-40,4500,3533
0,-40,5000,3089
0,-40,5500,2717
0,-40,6000,2399
0,-30,4500,3458
0,-30,5000,3023
0,-30,5500,2659
0,-30,6000,2348
0,-20,4500,3384
0,-20,5000,2959
0,-20,5500,2602
0,-20,6000,2297
0,-10,4500,3316
0,-10,5000,2899
0,-10,5500,2550
0,-10,6000,2251
0,0,4500,3248
0,0,5000,2840
0,0,5500,2497
0,0,6000,2205
0,10,4500,3072
0,10,5000,2682
0,10,5500,2356
0,10,6000,2077
0,20,4500,2469
0,20,5000,2142
0,20,5500,1866
0,20,6000,1629
0,30,4500,1955
0,30,5000,1680
0,30,5500,1448
0,30,6000,1247
0,40,4500,1522
0,40,5000,1291
0,40,5500,1096
0,40,6000,926
0,50,4500,1135
0,50,5000,945
0,50,5500,782
0,50,6000,640
2000,-54,4500,3666
2000,-54,5000,3203
2000,-54,5500,2815
2000,-54,6000,2484
2000,-50,4500,3633
2000,-50,5000,3174
2000,-50,5500,2789
2000,-50,6000,2461
2000,-40,4500,3552
2000,-40,5000,3104
2000,-40,5500,2728
2000,-40,6000,2407
2000,-30,4500,3474
2000,-30,5000,3035
2000,-30,5500,2667
2000,-30,6000,2353
2000,-20,4500,3402
2000,-20,5000,2972
2000,-20,5500,2612
2000,-20,6000,2304
2000,-10,4500,3333
2000,-10,5000,2912
2000,-10,5500,2559
2000,-10,6000,2258
2000,0,4500,3264
2000,0,5000,2851
2000,0,5500,2506
2000,0,6000,2210
2000,10,4500,2857
2000,10,5000,2487
2000,10,5500,2176
2000,10,6000,1910
2000,20,4500,2281
2000,20,5000,1970
2000,20,5500,1708
2000,20,6000,1482
2000,30,4500,1794
2000,30,5000,1533
2000,30,5500,1312
2000,30,6000,1121
2000,40,4500,1377
2000,40,5000,1159
2000,40,5500,973
2000,40,6000,812
2000,45,4500,1179
2000,45,5000,982
2000,45,5500,813
2000,45,6000,666
4000,-54,4500,3684
4000,-54,5000,3217
4000,-54,5500,2826
4000,-54,6000,2491
4000,-50,4500,3650
4000,-50,5000,3187
4000,-50,5500,2800
4000,-50,6000,2468
4000,-40,4500,3569
4000,-40,5000,3117
4000,-40,5500,2738
4000,-40,6000,2413
4000,-30,4500,3490
4000,-30,5000,3048
4000,-30,5500,2677
4000,-30,6000,2360
4000,-20,4500,3417
4000,-20,5000,2984
4000,-20,5500,2621
4000,-20,6000,2310
4000,-10,4500,3346
4000,-10,5000,2922
4000,-10,5500,2566
4000,-10,6000,2262
4000,0,4500,3275
4000,0,5000,2860
4000,0,5500,2512
4000,0,6000,2214
4000,10,4500,2680
4000,10,5000,2326
4000,10,5500,2028
4000,10,6000,1772
4000,20,4500,2124
4000,20,5000,1827
4000,20,5500,1576
4000,20,6000,1360
4000,30,4500,1659
4000,30,5000,1410
