pressure_alt_ft,oat_c,weight_lb,value
0,-54,4500,1555
0,-54,5000,1360
0,-54,5500,1196
0,-54,6000,1056
0,-50,4500,1555
0,-50,5000,1359
0,-50,5500,1195
0,-50,6000,1055
0,-40,4500,1554
0,-40,5000,1359
0,-40,5500,1195
0,-40,6000,1055
0,-30,4500,1553
0,-30,5000,1358
0,-30,5500,1194
0,-30,6000,1054
0,-20,4500,1551
0,-20,5000,1356
0,-20,5500,1193
0,-20,6000,1053
0,-10,4500,1550
0,-10,5000,1355
0,-10,5500,1192
0,-10,6000,1052
0,0,4500,1547
0,0,5000,1352
0,0,5500,1189
0,0,6000,1050
0,10,4500,1471
0,10,5000,1284
0,10,5500,1127
0,10,6000,993
2000,-54,4500,1535
2000,-54,5000,1341
2000,-54,5500,1179
2000,-54,6000,1040
2000,-50,4500,1535
2000,-50,5000,1341
2000,-50,5500,1178
2000,-50,6000,1039
2000,-40,4500,1534
2000,-40,5000,1340
2000,-40,5500,1178
2000,-40,6000,1039
2000,-30,4500,1532
2000,-30,5000,1338
2000,-30,5500,1176
2000,-30,6000,1037
2000,-20,4500,1531
2000,-20,5000,1337
2000,-20,5500,1175
2000,-20,6000,1037
2000,-10,4500,1529
2000,-10,5000,1336
2000,-10,5500,1174
2000,-10,6000,1036
2000,0,4500,1525
2000,0,5000,1333
2000,0,5500,1171
2000,0,6000,1033
2000,10,4500,1342
2000,10,5000,1167
2000,10,5500,1021
2000,10,6000,895
4000,-54,4500,1507
4000,-54,5000,1316
4000,-54,5500,1156
4000,-54,6000,1019
4000,-50,4500,1507
4000,-50,5000,1316
4000,-50,5500,1156
4000,-50,6000,1019
4000,-40,4500,1506
4000,-40,5000,1315
4000,-40,5500,1155
4000,-40,6000,1018
4000,-30,4500,1504
4000,-30,5000,1313
4000,-30,5500,1153
4000,-30,6000,1017
4000,-20,4500,1502
4000,-20,5000,1312
4000,-20,5500,1152
4000,-20,6000,1016
4000,-10,4500,1500
4000,-10,5000,1310
4000,-10,5500,1150
4000,-10,6000,1014
4000,0,4500,1494
4000,0,5000,1305
4000,0,5500,1146
4000,0,6000,1010
4000,10,4500,1227
4000,10,5000,1065
4000,10,5500,928
4000,10,6000,810
6000,-54,4500,1428
6000,-54,5000,1245
6000,-54,5500,1091
6000,-54,6000,960
6000,-50,4500,1426
6000,-50,5000,1243
6000,-50,5500,1090
6000,-50,6000,959
6000,-40,4500,1426
6000,-40,5000,1243
6000,-40,5500,1089
6000,-40,6000,958
6000,-30,4500,1424
6000,-30,5000,1242
6000,-30,5500,1089
6000,-30,6000,957
6000,-20,4500,1423
6000,-20,5000,1240
6000,-20,5500,1087
6000,-20,6000,956
6000,-10,4500,1421
6000,-10,5000,1238
6000,-10,5500,1086
6000,-10,6000,955
6000,0,4500,1334
6000,0,5000,1160
6000,0,5500,1014
6000,0,6000,890
6000,10,4500,1087
6000,10,5000,938
6000,10,5500,812
6000,10,6000,704
8000,-54,4500,1313
8000,-54,5000,1142
8000,-54,5500,998
8000,-54,6000,874
8000,-50,4500,1313
8000,-50,5000,1141
8000,-50,5500,997
8000,-50,6000,874
8000,-40,4500,1312
8000,-40,5000,1140
8000,-40,5500,996
8000,-40,6000,873
8000,-30,4500,1310
8000,-30,5000,1139
8000,-30,5500,995
8000,-30,6000,872
8000,-20,4500,1309
8000,-20,5000,1138
8000,-20,5500,994
8000,-20,6000,871
8000,-10,4500,1307
8000,-10,5000,1136
8000,-10,5500,992
8000,-10,6000,869
8000,0,4500,1161
8000,0,5000,1005
8000,0,5500,874
8000,0,6000,761
8000,10,4500,936
8000,10,5000,803
8000,10,5500,690
8000,10,6000,592
10000,-10,4500,1198
10000,-10,5000,1038
10000,-10,5500,904
10000,-10,6000,788
10000,0,4500,1007
10000,0,5000,866
10000,0,5500,747
10000,0,6000,645
10000,10,4500,799
10000,10,5000,680
10000,10,5500,578
10000,10,6000,490
12000,-54,4500,1105
12000,-54,5000,955
12000,-54,5500,828
12000,-54,6000,718
12000,-50,4500,1105
12000,-50,5000,954
12000,-50,5500,827
12000,-50,6000,718
12000,-40,4500,1104
12000,-40,5000,953
12000,-40,5500,827
12000,-40,6000,717
12000,-30,4500,1103
12000,-30,5000,953
12000,-30,5500,826
12000,-30,6000,717
12000,-20,4500,1101
12000,-20,5000,951
12000,-20,5500,825
12000,-20,6000,716
12000,-10,4500,1062
12000,-10,5000,916
12000,-10,5500,793
12000,-10,6000,687
12000,0,4500,858
12000,0,5000,733
12000,0,5500,626
12000,0,6000,534
12000,10,4500,670
12000,10,5000,564
12000,10,5500,473
12000,10,6000,393
14000,-54,4500,1007
14000,-54,5000,867
14000,-54,5500,748
14000,-54,6000,645
14000,-50,4500,1007
14000,-50,5000,866
14000,-50,5500,747
14000,-50,6000,645
14000,-40,4500,1005
14000,-40,5000,865
14000,-40,5500,746
14000,-40,6000,644
14000,-30,4500,1004
14000,-30,5000,864
14000,-30,5500,745
14000,-30,6000,643
14000,-20,4500,1002
14000,-20,5000,862
14000,-20,5500,744
14000,-20,6000,642
14000,-10,4500,912
14000,-10,5000,781
14000,-10,5500,670
14000,-10,6000,574
14000,0,4500,724
14000,0,5000,612
14000,0,5500,517
14000,0,6000,434
14000,10,4500,554
14000,10,5000,459
14000,10,5500,378
14000,10,6000,306
